Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
Double Dumbbell Thruster,Novice,Quadriceps,Dumbbell,Full Body,Bodybuilding,https://youtu.be/u3wKkZjE8QM
Single Arm Dumbbell Thruster,Novice,Quadriceps,Dumbbell,Full Body,Bodybuilding,https://youtu.be/03aX4h5-EkA
Single Arm Landmine Row,Novice,Back,Landmine,Upper Body,Bodybuilding,https://youtu.be/tiETx7VNDf0
Superband Assisted Bar Wide Grip Pull Up,Novice,Back,Superband,Upper Body,Calisthenics,https://youtu.be/0FLLqjG68rg
Stability Ball Prone Cobra,Novice,Back,Stability Ball,Upper Body,Postural,https://youtu.be/qt1WWg8QDg8?si=Go7eAWcyWu13yBIi
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Dumbbell,Full Body,Unsorted*,https://youtu.be/Pvs-dT7KPh4
Double Dumbbell Pendlay Row,Novice,Back,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/4-Jz3c_u1dw
Cable Straight Bar Pullover,Novice,Back,Cable,Upper Body,Bodybuilding,https://youtu.be/SgzJGLlAtok?si=p2bo--kETp2ajVVX
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Cable,Upper Body,Bodybuilding,https://youtu.be/4QDCC2gU5_E
Single Arm Cable Half Kneeling Low Row,Novice,Back,Cable,Upper Body,Bodybuilding,https://youtu.be/redrpTwkplw
Single Arm Suspension Low Row,Novice,Back,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/wH4TXGV8UyA?si=N8Y8Uk0A9glEeeuQ
Double Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/93ZAdx24QVQ
Barbell Pendlay Row,Novice,Back,Barbell,Upper Body,Bodybuilding,https://youtu.be/ezrZnmjZTR4
Barbell Bench Press,Novice,Chest,Barbell,Upper Body,Powerlifting,https://youtu.be/SCVCLChPQFY
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Cable,Lower Body,Unsorted*,https://youtu.be/1OnBBhiaQjY
Cable Hip Rotation,Novice,Glutes,Cable,Lower Body,Unsorted*,https://youtu.be/ApvO0XTFjRc
Barbell Bicep Curl,Novice,Biceps,Barbell,Upper Body,Bodybuilding,https://youtu.be/QciWGMjD-nM
Barbell Overhead Press,Novice,Shoulders,Barbell,Upper Body,Bodybuilding,https://youtu.be/43GSKivZnw4?si=OIfasYK8gG4sUDBW
Barbell Push Press,Novice,Shoulders,Barbell,Upper Body,Unsorted*,https://youtu.be/iaBVSJm78ko
Barbell Bent Over Row,Novice,Back,Barbell,Upper Body,Bodybuilding,https://youtu.be/9Gf-Ourup_k?si=qt-DlqHLDICtOmju
Single Arm Landmine Meadows Row,Novice,Back,Landmine,Upper Body,Bodybuilding,https://youtu.be/e-c4gMcqdyw
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/iWyvxI5A1cA?si=aBSi-dGZ6CxySnnU
Cable Tall Kneeling Overhead Tricep Extension ,Novice,Triceps,Cable,Upper Body,Bodybuilding,https://youtu.be/cDMXXH7Y9AM
Cable Rope Bench Skull Crusher,Novice,Triceps,Cable,Upper Body,Bodybuilding,https://youtu.be/NfOLyLpoGII
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/KxPNCVXkvAg?si=pDMoju9bpHN_T9_7
Bodyweight Wall Facing Handstand,Novice,Shoulders,Bodyweight,Upper Body,Calisthenics,https://youtu.be/yHuLx1J9orw
Parallette Close Grip Push Up,Novice,Triceps,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/VhqEdeeAyvg
Parallette Wide Push Up,Novice,Chest,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/UEZy-OmXdZs
Barbell Front Raise,Novice,Shoulders,Barbell,Upper Body,Bodybuilding,https://youtu.be/DL-HN35sxdg
Single Arm Cable Front Raise,Novice,Shoulders,Cable,Upper Body,Bodybuilding,https://youtu.be/acozHQv1JLk
Parallette Side Plank,Intermediate,Abdominals,Parallette Bars,Midsection,Calisthenics,https://youtu.be/d7PGNbhmQVM
Cable Straight Bar Front Raise,Novice,Shoulders,Cable,Upper Body,Bodybuilding,https://youtu.be/PgSZlX32WTo
Barbell Close Grip Bench Press,Novice,Triceps,Barbell,Upper Body,Bodybuilding,https://youtu.be/XEFDMwmrLAM
Single Arm Cable Bicep Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/Pu5p6uZGTZM?si=MoB-YCpKDesQD9Nn
Single Arm Cable Shotgun Row,Novice,Back,Cable,Upper Body,Bodybuilding,https://youtu.be/91nVZ7FLPyA?si=_khiKXF3khjyeuSP
Cable Half Kneeling Face Pull,Novice,Shoulders,Cable,Upper Body,Unsorted*,https://youtu.be/_1ATOXmanEw?si=7DN0OJcZ8jGgOQxp
Stability Ball Double Dumbbell W Raise,Novice,Shoulders,Stability Ball,Upper Body,Unsorted*,
Single Arm Kettlebell Bent Over Row,Novice,Back,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/9Q9gwoXHn1o
Double Kettlebell Gorilla Row,Novice,Back,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/Ln1j7lm6SrE
Kettlebell Alternating Halo,Novice,Shoulders,Kettlebell,Upper Body,Mobility,https://youtu.be/wJcmanVh5EE
Single Arm Kettlebell Overhead Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/CwhbuoGqyug?si=Q9nkDUY4NvpGPqak
Kettlebell Horn Grip Bicep Curl,Novice,Biceps,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/YzTfq9VaQKs
Double Dumbbell Prone Row,Novice,Back,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/scf3uLuAATg
Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/6GbGvGvedOc
Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/ekNrVv6G5v8
Barbell Prone Row,Novice,Back,Barbell,Upper Body,Bodybuilding,https://youtu.be/pJzThQgKKxw
Single Arm Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/XsV_KH5Xrng
Single Arm Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Upper Body,Unsorted*,https://youtu.be/pRfJwVHLp6c
Barbell Incline Bench Press,Novice,Chest,Barbell,Upper Body,Bodybuilding,https://youtu.be/2jFFCy8JBU8?si=BCYplSL2-ewJ8kiB
Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/2nJsZIScaVk
Double Dumbbell Incline Bench Prone Y Raise,Novice,Shoulders,Dumbbell,Upper Body,Postural,https://youtu.be/x4PRrxvYtwk?si=arNJc-zXL0vatJmL
Suspension Face Pull to Overhead Press,Novice,Shoulders,Suspension Trainer,Upper Body,Unsorted*,https://youtu.be/a33rvhoBWYM
Double Dumbbell Reverse Grip Bench Press,Novice,Chest,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/Cb5ZNB7Vf-0?si=_wFvEZ4u-wYsUhzm
Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Cable,Upper Body,Bodybuilding,https://youtu.be/N7FcfA7UFZk
Double Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,Full Body,Unsorted*,https://youtu.be/p5MNNosenJc
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Resistance Band,Upper Body,Unsorted*,
Double Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Upper Body,Unsorted*,https://youtu.be/XpcOM9Np9LQ?si=p-JIsZ-J0LYgrnEO
Double Kettlebell Pendlay Row,Novice,Back,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/KoOmLu7ms1s
Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/ZcUxxxNl1PA
Single Arm Kettlebell Push Press,Novice,Shoulders,Kettlebell,Upper Body,Unsorted*,https://youtu.be/KUsZAGWd0VQ
Double Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Upper Body,Unsorted*,https://youtu.be/U2w1H0oXhhg?si=OkR2U3VpYiRe81Eo
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Chest,Dumbbell,Full Body,Bodybuilding,https://youtu.be/195-8CoZDgo
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Upper Body,Unsorted*,https://youtu.be/55-ngw6hplo
Alternating Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/DmC9vPYvU0g?si=mIpOJCXLUo_un5rT
